sample_id,user,day,total_logins,avg_login_hour,std_login_hour,device_events,files_accessed,emails_sent,emails_cc,O,C,E,A,N,suspicious_urls,after_hours_ratio,rule_points,label
CCH0959__2010-08-20,CCH0959,2010-08-20,0,11.4,2.244994432064365,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.0,1,0
CCH0959__2010-08-23,CCH0959,2010-08-23,0,13.6,1.4966629547095764,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.0,1,0
CCH0959__2010-08-24,CCH0959,2010-08-24,0,13.0,2.449489742783178,0,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,0,0
CCH0959__2010-08-25,CCH0959,2010-08-25,0,12.0,0.0,0,0,0,0,0.4,0.6,0.5,0.6,0.4,1,0.0,1,0
CCH0959__2010-08-26,CCH0959,2010-08-26,0,10.625,2.394655507583502,0,0,0,0,0.4,0.6,0.5,0.6,0.4,6,0.375,2,1
CCH0959__2010-08-27,CCH0959,2010-08-27,0,12.0,2.160246899469287,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.0,1,0
CCH0959__2010-08-30,CCH0959,2010-08-30,0,12.0,2.6076809620810595,0,0,0,0,0.4,0.6,0.5,0.6,0.4,4,0.2,1,0
CCH0959__2010-08-31,CCH0959,2010-08-31,0,13.0,2.160246899469287,0,0,0,0,0.4,0.6,0.5,0.6,0.4,3,0.0,1,0
CCH0959__2010-09-01,CCH0959,2010-09-01,0,11.666666666666666,2.5696642977584836,12,0,0,0,0.4,0.6,0.5,0.6,0.4,6,0.1429,2,1
CCH0959__2010-09-02,CCH0959,2010-09-02,0,12.25,1.299038105676658,8,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-03,CCH0959,2010-09-03,0,12.166666666666666,1.6244657241348275,12,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-07,CCH0959,2010-09-07,0,12.5,1.5,6,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-08,CCH0959,2010-09-08,0,9.5,1.5,2,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.5,2,1
CCH0959__2010-09-09,CCH0959,2010-09-09,0,12.714285714285714,2.050385727772475,14,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-10,CCH0959,2010-09-10,0,11.714285714285714,1.7899948694488097,14,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0714,1,0
CCH0959__2010-09-13,CCH0959,2010-09-13,0,10.0,2.280350850198276,5,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.4,2,1
CCH0959__2010-09-14,CCH0959,2010-09-14,0,12.571428571428571,2.025349554108261,14,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-15,CCH0959,2010-09-15,0,13.4,0.7999999999999999,5,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-16,CCH0959,2010-09-16,0,12.166666666666666,2.074983266331455,12,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-17,CCH0959,2010-09-17,0,11.7,2.1931712199461306,10,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.2,1,0
CCH0959__2010-09-20,CCH0959,2010-09-20,0,10.833333333333334,1.7716909687891083,6,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.1667,1,0
CCH0959__2010-09-21,CCH0959,2010-09-21,0,12.0,1.5811388300841898,4,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-22,CCH0959,2010-09-22,0,12.166666666666666,2.192157739660984,12,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-23,CCH0959,2010-09-23,0,11.0,2.174229226018436,11,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.1818,1,0
CCH0959__2010-09-24,CCH0959,2010-09-24,0,10.0,2.345207879911715,4,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.25,1,0
CCH0959__2010-09-27,CCH0959,2010-09-27,0,12.3,2.0518284528683193,10,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.1,1,0
CCH0959__2010-09-28,CCH0959,2010-09-28,0,13.5,1.5,4,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-29,CCH0959,2010-09-29,0,12.5,1.4142135623730951,8,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.0,1,0
CCH0959__2010-09-30,CCH0959,2010-09-30,0,10.375,2.496873044429772,8,0,0,0,0.4,0.6,0.5,0.6,0.4,0,0.25,1,0
JTC1885__2010-12-03,JTC1885,2010-12-03,1,6.0,1.0,2,0,0,0,0.4,0.6,0.5,0.6,0.4,0,1.0,2,1
JTC1885__2010-12-06,JTC1885,2010-12-06,1,21.0,0.0,1,0,0,0,0.4,0.6,0.5,0.6,0.4,0,1.0,1,0
JTC1885__2010-12-07,JTC1885,2010-12-07,1,2.0,0.0,1,0,0,0,0.4,0.6,0.5,0.6,0.4,0,1.0,1,0
JTC1885__2010-12-08,JTC1885,2010-12-08,1,23.0,0.0,2,0,0,0,0.4,0.6,0.5,0.6,0.4,0,1.0,2,1
KTW0365__2010-07-08,KTW0365,2010-07-08,1,22.0,0.0,4,1,2,0,0.4,0.6,0.5,0.6,0.4,0,0.8,3,1
KTW0365__2010-07-09,KTW0365,2010-07-09,1,20.0,0.0,0,0,0,0,0.4,0.6,0.5,0.6,0.4,0,1.0,1,0
TIH0348__2010-07-08,TIH0348,2010-07-08,0,14.0,2.0,0,0,2,0,0.4,0.6,0.5,0.6,0.4,0,0.0,0,0
TIH0348__2010-07-09,TIH0348,2010-07-09,1,20.0,0.0,0,0,1,0,0.4,0.6,0.5,0.6,0.4,0,1.0,1,0
